"Attribute Name","Numeric Values","From Range","Disabled","Increment","To Range","ID (Item Attribute Values)","Abbreviation (Item Attribute Values)","Attribute Value (Item Attribute Values)"
"","","","","","","elohp9g7ni","Economics","SASSC Grade 12 Economics"
"","","","","","","qd7tbi50ff","Biology","SASSC Grade 12 Biology"
"SAS Suchitra Grade 12 Core Subjects",0,0.0,0,0.0,0.0,"brnu4ridgo","Physics Chemistry Maths","SASSC Grade 12 Physics Chemistry Maths"
"","","","","","","brnikk0jbg","Physics Chemistry Biology","SASSC Grade 12 Physics Chemistry Biology"
"","","","","","","brnaecp0qk","Commerce","SASSC Grade 12 Commerce"
"","","","","","","brnf8uku7s","Humanities","SASSC Grade 12 Humanities"
"SAS Suchitra Grade 12 Mandate",0,0.0,0,0.0,0.0,"acat7d4gsf","Grade 12 Mandate","SASSC Grade 12 Book Set Mandate"
"TSUS Book Set Grade 12 Extra Subject",0,0.0,0,0.0,0.0,"0le3oka3df","Informatics Practices","TSUS Book Set Grade 12 Informatics Practices"
"","","","","","","0lejcuv3m1","Computer Science","TSUS Book Set Grade 12 Computer Science"
"","","","","","","0lepu13q2h","Health & Phy Education","TSUS Book Set Grade 12 Health & Phy Education"
"","","","","","","0le3sknvlo","Entrepreneurship","TSUS Book Set Grade 12 Entrepreneurship"
"","","","","","","0lebpg0htq","Fine Arts","TSUS Book Set Grade 12 Fine Arts"
"","","","","","","13ku6rp1ak","Psychology","TSUS Book Set Grade 12 Psychology"
"TSUS Book Set Grade 12 Core Subjects",0,0.0,0,0.0,0.0,"046g6v90pj","Physics Chemistry Maths","TSUS Book Set Grade 12 Physics Chemistry Maths"
"","","","","","","046veei0r5","Physics Chemistry Biology","TSUS Book Set Grade 12 Physics Chemistry Biology"
"","","","","","","046bn5opl3","Commerce","TSUS Book Set Grade 12 Commerce"
"","","","","","","046r7k85j8","Humanities","TSUS Book Set Grade 12 Humanities"
"TSUS Book Set Grade 12 Mandate",0,0.0,0,0.0,0.0,"v1hhnett1v","Grade 12 Mandate","TSUS Book Set Grade 12 Mandate"
"Full Pant size",0,0.0,0,0.0,0.0,"mcu62io8vg","22$$","22"
"","","","","","","mcu2a7iljk","24$$","24"
"","","","","","","mcu5idhs39","26$$","26"
"","","","","","","mcum31u3is","28$$","28"
"","","","","","","mcumad11ub","30$$","30"
"","","","","","","mcu89ib7tn","32$$","32"
"","","","","","","mcumpfjnee","34$$","34"
"","","","","","","mcukvmuooc","36$$","36"
"","","","","","","mcua13rprm","38$$","38"
"","","","","","","mcumpdb9c4","40$$","40"
"","","","","","","mcua6j6av1","42$$","42"
"","","","","","","mcunjrct08","44$$","44"
"","","","","","","mcu1rlnrns","46$$","46"
"","","","","","","p0ijm18gr1","20$$","20"
"","","","","","","081ta5057k","48$$","48"
"","","","","","","081j1kmca2","50$$","50"
"","","","","","","u0rrh910b9","18$$","18"
"","","","","","","u0rei2qbsh","16$$","16"
"Track Pant Size",0,0.0,0,0.0,0.0,"ti5uast1lm","18$$","18"
"","","","","","","ti50sqboor","20$$","20"
"","","","","","","ti5r6hkhra","22$$","22"
"","","","","","","ti53gjdah8","24$$","24"
"","","","","","","ti541vl7ti","26$$","26"
"","","","","","","ti595gjtv4","28$$","28"
"","","","","","","ti5h67kfgl","30$$","30"
"","","","","","","ti53jtjomm","32$$","32"
"","","","","","","ti5vb5pucp","34$$","34"
"","","","","","","ti564lhao7","36$$","36"
"","","","","","","ti5o627qm9","38$$","38"
"","","","","","","ti5h0n1g1j","40$$","40"
"","","","","","","ti55pfh23a","42$$","42"
"","","","","","","ti5cf0v7a3","44$$","44"
"","","","","","","ti5t3kb37k","46$$","46"
"","","","","","","ti5idfj3jd","48$$","48"
"","","","","","","ti55ni4rq9","50$$","50"
"","","","","","","ti5gnm53mj","52$$","52"
"Tshirt Size",0,0.0,0,0.0,0.0,"sfck3bj0g2","24$$","24"
"","","","","","","sfc8b7eop3","26$$","26"
"","","","","","","sfcakmlc2j","28$$","28"
"","","","","","","sfcumt2gku","30$$","30"
"","","","","","","sfc65sd9hg","32$$","32"
"","","","","","","sfch91t0m9","34$$","34"
"","","","","","","sfcnq7gvcf","36$$","36"
"","","","","","","sfc75lkjv6","38$$","38"
"","","","","","","sfcsmhpji9","40$$","40"
"","","","","","","sfcob3hk76","42$$","42"
"","","","","","","sfcs9d6df4","44$$","44"
"","","","","","","sfc0tctmok","46$$","46"
"","","","","","","sfc5e25d8e","48$$","48"
"","","","","","","sfca1ajc21","50$$","50"
"","","","","","","sfc6sok8np","52$$","52"
"","","","","","","sfcqmi6erc","54$$","54"
"","","","","","","sfcbkg2j9t","56$$","56"
"","","","","","","sfci38tdsb","58$$","58"
"","","","","","","tmvr9chrd9","22$$","22"
"","","","","","","tmvvskrfcr","20$$","20"
"","","","","","","te6fgnrc8i","60$$","60"
"","","","","","","te65pmnj65","62$$","62"
"","","","","","","te6neqk66u","64$$","64"
"Socks Size",0,0.0,0,0.0,0.0,"qh0pfg4n5a","XS$$","XS"
"","","","","","","qh0c73vdl4","S$$$","S"
"","","","","","","qh08vgsioc","M$$$","M"
"","","","","","","qh0lngdfbi","L$$$","L"
"","","","","","","qh0lr5vk88","XL$$","XL"
"","","","","","","qh0f40vggp","2XL$","2XL"
"","","","","","","qh0upvni00","3XL$","3XL"
"","","","","","","qh0v5mulo3","4XL$","4XL"
"Shoe Size",0,0.0,0,0.0,0.0,"ne1bq3ruut","6S$$","6S"
"","","","","","","ne1g8bfcf7","7S$$","7S"
"","","","","","","ne1g3j3cpj","8S$$","8S"
"","","","","","","ne18eho487","9S$$","9S"
"","","","","","","ne1qn1b3r9","10S$","10S"
"","","","","","","ne1u43pg6h","11S$","11S"
"","","","","","","ne1gj6dqt0","12S$","12S"
"","","","","","","ne167kga1h","13S$","13S"
"","","","","","","ne1fsa3639","1UK$","1UK"
"","","","","","","ne1t9icqtk","2UK$","2UK"
"","","","","","","ne1d1qlcj3","3UK$","3UK"
"","","","","","","ne1boi3dpq","4UK$","4UK"
"","","","","","","ne112fft6k","5UK$","5UK"
"","","","","","","ne13r1ni2d","6UK$","6UK"
"","","","","","","ne1bg17mmm","7UK$","7UK"
"","","","","","","ne1ch461ge","8UK$","8UK"
"","","","","","","ne10jg2mbc","9UK$","9UK"
"","","","","","","ne1f2n7eo1","10UK","10UK"
"","","","","","","ne1vmr8pt5","11UK","11UK"
"","","","","","","d9maat8kvc","12UK","12UK"
"","","","","","","6u7aa8dtut","6K$$","6K"
"","","","","","","6u711su1v4","7K$$","7K"
"","","","","","","6u70fa066c","8K$$","8K"
"","","","","","","6u72972ub2","9K$$","9K"
"","","","","","","6u798oqq6k","10K$$","10K"
"","","","","","","6u7e2drg4k","11K$$","11K "
"","","","","","","fnduke7vut","12k$$","12K"
"","","","","","","fnd45utejc","13K$$","13K"
"Shirt Size",0,0.0,0,0.0,0.0,"lioro90o9j","28$$","28"
"","","","","","","lioavmh53t","30$$","30"
"","","","","","","lioesq0hhc","32$$","32"
"","","","","","","liojnqjja5","34$$","34"
"","","","","","","lio9agu8tk","36$$","36"
"","","","","","","lio991d3n0","38$$","38"
"","","","","","","liok6esm7m","40$$","40"
"","","","","","","liodmdi6ik","42$$","42"
"","","","","","","lionbi3ef1","44$$","44"
"","","","","","","lio4olvjpf","46$$","46"
"","","","","","","lio79jmf88","48$$","48"
"","","","","","","liooo5erra","50$$","50"
"","","","","","","liojd0jgln","52$$","52"
"","","","","","","lioentajvn","54$$","54"
"","","","","","","liofesm1in","56$$","56"
"","","","","","","liof8p67lv","58$$","58"
"","","","","","","94h4qbdheb","22$$","22"
"","","","","","","94h1ifm6hn","24$$","24"
"","","","","","","94hqkqcdb4","26$$","26"
"","","","","","","95ggnre82q","20$$","20"
"","","","","","","l6ogobeudl","18$$","18"
"Half Pants Size",0,0.0,0,0.0,0.0,"jhjfo5237e","16B$","16B"
"","","","","","","jhjgu8e2e9","18B$","18B"
"","","","","","","jhjr2r7255","20A$","20A"
"","","","","","","jhj24mvh9n","22A$","22A"
"","","","","","","jhjqi2ospu","22B$","22B"
"","","","","","","jhjmtfmg3c","24A$","24A"
"","","","","","","jhjnbm5ver","24B$","24B"
"","","","","","","jhjkmomjhr","26A$","26A"
"","","","","","","jhjj147c3b","26B$","26B"
"","","","","","","jhjp60to1q","28A$","28A"
"","","","","","","jhjdun9knj","28B$","28B"
"","","","","","","jhjq159vug","30A$","30A"
"","","","","","","jhjnpun5u2","30B$","30B"
"","","","","","","jhjspj17ff","32A$","32A"
"","","","","","","jhj0ae6bae","32B$","32B"
"","","","","","","jhjf899bfi","34A$","34A"
"","","","","","","jhj1rb3v4h","34B$","34B"
"","","","","","","jhjq9i7m59","36A$","36A"
"","","","","","","jhjbn80qfm","36B$","36B"
"","","","","","","sickvt26j4","16A$","16A"
"","","","","","","sichci3vv2","16C$","16C"
"","","","","","","sicukisrsa","16D$","16D"
"","","","","","","sicnl1pes0","18A$","18A"
"","","","","","","sichm46544","18C$","18C"
"","","","","","","sicc5bd6k3","18D$","18D"
"","","","","","","sicujlk5js","20B$","20B"
"","","","","","","siccpe6ggl","20C$","20C"
"","","","","","","sic6i9j9c3","20D$","20D"
"","","","","","","sidm22c058","22C$","22C"
"","","","","","","sidt7gnai7","22D$","22D"
"","","","","","","sidiaugtn7","24C$","24C"
"","","","","","","sidv4bc18g","24D$","24D"
"","","","","","","sidomesvof","26C$","26C"
"","","","","","","sidd2clc85","26D$","26D"
"","","","","","","sidllqn5f6","28C$","28C"
"","","","","","","sidrga93d7","28D$","28D"
"","","","","","","sids7rlftf","30C$","30C"
"","","","","","","sidf8n6bp7","30D$","30D"
"","","","","","","sida4rfrs2","32C$","32C"
"","","","","","","sid212m9il","32D$","32D"
"","","","","","","sidvnrh440","34C$","34C"
"","","","","","","sidm42qpol","34D$","34D"
"","","","","","","sid8ho93q1","36C$","36C"
"","","","","","","siddkdhju0","36D$","36D"
"","","","","","","b7o3urpicf","14A$","14A"
"","","","","","","b7ok2qpjha","14B$","14B"
"","","","","","","iljkrf1pos","38A$","38A"
"","","","","","","ilj7vebr93","38B$","38B"
"","","","","","","iljooi04bo","38C$","38C"
"Belt Size",0,0.0,0,0.0,0.0,"j16jnkjt7j","S$$$","S"
"","","","","","","j1634g9d64","M$$$","M"
"","","","","","","j16cqgqvvu","L$$$","L"
"","","","","","","j16m9ve3h3","XL$$","XL"
"","","","","","","ku69fgtidi","2XL$","2XL"
"Bags Size",0,0.0,0,0.0,0.0,"f31sa7dpb9","S$$$","S"
"","","","","","","f314drtqcv","M$$$","M"
"","","","","","","f31sc2mas7","L$$$","L"
"TSUS Colors",0,0.0,0,0.0,0.0,"2rh5hhdiqr","B","Dhairya (Blue)"
"","","","","","","gjbsdpgm8d","A","Abhay (RED)"
"","","","","","","gjbk1ml75i","C","Lakshay (GREEN)"
"","","","","","","gjbs3qklf2","D","Nishchay (YELLOW)"
"","","","","","","gjb4psocuf","M","NAVY"
"","","","","","","gjbbm271da","J","WHITE"
"","","","","","","gjbrifj3pd","I","BLACK"
"","","","","","","gjb4k52luf","V","OFF WHITE"
"Skirt Size",0,0.0,0,0.0,0.0,"ascs2360nn","20C$","20C"
"","","","","","","ndb8pqa8f2","16A$","16A"
"","","","","","","ndbl4btr9i","16B$","16B"
"","","","","","","ndbr6qhl8m","16C$","16C"
"","","","","","","ndbh5918kg","16D$","16D"
"","","","","","","ndb67otque","20A$","20A"
"","","","","","","ndb6cbnn51","20B$","20B"
"","","","","","","ndbuvb54dg","20D$","20D"
"","","","","","","ndbtlqckjj","20E$","20E"
"","","","","","","ndbqk7sha7","22A$","22A"
"","","","","","","ndbf9mnaki","22B$","22B"
"","","","","","","ndb0q18c0v","22C$","22C"
"","","","","","","ndbhdvvv2b","22D$","22D"
"","","","","","","ndbbbh1hpf","22E$","22E"
"","","","","","","ndb9l88hea","24A$","24A"
"","","","","","","ndbb3cf8ee","24B$","24B"
"","","","","","","ndbf6qjkis","24C$","24C"
"","","","","","","ndb8nccl68","24D$","24D"
"","","","","","","ndbs8m5ghc","24E$","24E"
"","","","","","","ndblkh8061","26A$","26A"
"","","","","","","ndb7hhpid4","26B$","26B"
"","","","","","","ndbhs6kgej","26C$","26C"
"","","","","","","ndbkb47nki","26D$","26D"
"","","","","","","ndb95bf0u8","26E$","26E"
"","","","","","","ndbt3cdmmo","28A$","28A"
"","","","","","","ndbqmtn02n","28B$","28B"
"","","","","","","ndb23bq2n3","28C$","28C"
"","","","","","","ndbmmb16hs","28D$","28D"
"","","","","","","ndbrvc6he0","28E$","28E"
"","","","","","","ndbr3lmjm5","30A$","30A"
"","","","","","","ndbqv2ujg1","30B$","30B"
"","","","","","","ndblj9jnb4","30C$","30C"
"","","","","","","ndbv0tsgk0","30D$","30D"
"","","","","","","ndbk1d43on","30E$","30E"
"","","","","","","ndbo6glols","32A$","32A"
"","","","","","","ndb82jshgv","32B$","32B"
"","","","","","","ndbcg0bpnt","32C$","32C"
"","","","","","","ndbb8gq468","32D$","32D"
"","","","","","","ndb4tja3ss","32E$","32E"
"","","","","","","ndb8kcg4lt","34A$","34A"
"","","","","","","ndbc8t4f7r","34B$","34B"
"","","","","","","ndbjh2mp02","34C$","34C"
"","","","","","","ndbrl0sf67","34D$","34D"
"","","","","","","ndb5chqlsq","34E$","34E"
"","","","","","","ndbd1ro815","36A$","36A"
"","","","","","","ndbhrbil0j","36B$","36B"
"","","","","","","ndb1hba5s6","36C$","36C"
"","","","","","","ndbfqf0sqn","36D$","36D"
"","","","","","","ndb8i0lbnl","36E$","36E"
"","","","","","","ndbvk1bqho","38A$","38A"
"","","","","","","ndbdcpr4fe","38B$","38B"
"","","","","","","ndb1nl1u5o","38C$","38C"
"","","","","","","ndbtirrfid","38D$","38D"
"","","","","","","ndbr94o8fc","38E$","38E"
"","","","","","","ndb2p86dps","40A$","40A"
"","","","","","","ndb0bjr09r","40B$","40B"
"","","","","","","ndb6mapkqr","40C$","40C"
"","","","","","","ndb625q0v5","40D$","40D"
"","","","","","","ndb6bd4kp4","40E$","40E"
"","","","","","","ujs0lmcemq","18A$","18A"
"","","","","","","ujs508hd7u","18B$","18B"
"","","","","","","ujsssq5uba","18C$","18C"
"","","","","","","ujso3f33jk","18D$","18D"
"","","","","","","ujsfhv5umm","18E$","18E"
"","","","","","","i4b9rm8aoe","24F$","24F"
"","","","","","","i4b79i6j7v","26F$","26F"
"","","","","","","i4bpo7q2ul","28F$","28F"
"","","","","","","i4b4ml2hq5","30F$","30F"
"","","","","","","i4bevjjeub","32F$","32F"
"","","","","","","i4bqj9npsq","34F$","34F"
"","","","","","","kafqt2drjj","42A$","42A"
"","","","","","","kafcgv0r2q","42B$","42B"
"","","","","","","kafr0tpoqc","42C$","42C"
"","","","","","","6ttue8v7aq","18F$","18F"
"","","","","","","7s0mr31kom","22F$","22F"
"Design",0,0.0,0,0.0,0.0,"upg4hielip","A","Design Version"
"Different Logo",0,0.0,0,0.0,0.0,"","",""
"Colour",0,0.0,0,0.0,0.0,"gj6gg7lm1v","A","Red"
"","","","","","","gj6sd6vq3n","G","Green"
"","","","","","","gj6dkttcpe","B","Blue"
"","","","","","","gj6pjag6a9","C","Black"
"","","","","","","gj6r1lug75","W","White"
"","","","","","","9mcsmii41t","Y","Yellow"
"Size",0,0.0,0,0.0,0.0,"8jrrora7h0","18X","18"
"","","","","","","8jr9640lkj","20B","20B"
"","","","","","","8jrekeisl0","30C","30C"
"","","","","","","0jl4fu6qr9","22X","22"
"","","","","","","0jlpcaitsu","24X","24"
